cell	index1	index2
P3OMP1	N703	S503
P3OMP2	N704	S503
P3OMP4	N705	S503
P3OMP5	N706	S503
P3OMP6	N707	S503
P3OMP7	N708	S503
P3OMP8	N709	S503
P3OMP9	N710	S503
P3OMP11	N711	S503
P3OMP12	N712	S503
P3OMP13	N701	S504
P3OMP14	N702	S504
P3OMP15	N703	S504
P3OMP16	N704	S504
P3OMP17	N705	S504
P3OMP18	N706	S504
P3OMP19	N707	S504
P3OMP20	N708	S504
P3OMP21	N709	S504
P3OMP22	N710	S504
P3OMP23	N711	S504
P3OMP27	N712	S504
P3OMP28	N701	S505
P3OMP29	N702	S505
P3OMP31	N703	S505
P3OMP32	N704	S505
P3OMP33	N705	S505
P3OMP34	N706	S505
P3OMP35	N707	S505
P3OMP36	N708	S505
P3OMP38	N709	S505
P3OMP39	N710	S505
P3OMP41	N711	S505
P3OMP120	N712	S505
