Ensembl_gene_ID	Ensembl_transcript_ID	Gene_symbol	Intron1	Intron2	Intron3	Intron4	Intron5	Intron6
ENSMUSG00000067064	ENSMUST00000214928	Olfr1416	4351					
ENSMUSG00000057464	ENSMUST00000204009	Olfr1415	4186					
ENSMUSG00000057464	ENSMUST00000204766	Olfr1415	4186	116				
ENSMUSG00000042849	ENSMUST00000062353	Olfr1414	6279					
ENSMUSG00000042849	ENSMUST00000189174	Olfr1414	6213					
ENSMUSG00000058904	ENSMUST00000214239	Olfr1413	1352					
ENSMUSG00000046300	ENSMUST00000190505	Olfr1412	1934					
ENSMUSG00000062497	ENSMUST00000190844	Olfr1411	1522					
ENSMUSG00000062497	ENSMUST00000216444	Olfr1411	1442					
ENSMUSG00000063583	ENSMUST00000217316	Olfr1410	1098					
ENSMUSG00000063583	ENSMUST00000216553	Olfr1410	425	1098				
ENSMUSG00000061616	ENSMUST00000213247	Olfr12	1467					
ENSMUSG00000037924	ENSMUST00000215254	Olfr16	1356	3903				
ENSMUSG00000062527	ENSMUST00000200689	Olfr1408	5873					
ENSMUSG00000058981	ENSMUST00000215878	Olfr1406	393	798	4445			
ENSMUSG00000058981	ENSMUST00000201132	Olfr1406	1391	4445				
ENSMUSG00000058981	ENSMUST00000072395	Olfr1406	0					
ENSMUSG00000046643	ENSMUST00000216603	Olfr218	4906					
ENSMUSG00000046643	ENSMUST00000215844	Olfr218	5098					
ENSMUSG00000049456	ENSMUST00000216556	Olfr1404	381	2506				
ENSMUSG00000049456	ENSMUST00000217374	Olfr1404	2506					
ENSMUSG00000049605	ENSMUST00000213420	Olfr418	1810	1796				
ENSMUSG00000045381	ENSMUST00000214690	Olfr433	739					
ENSMUSG00000045381	ENSMUST00000052975	Olfr433	0					
ENSMUSG00000047048	ENSMUST00000213381	Olfr432	216	799				
ENSMUSG00000047048	ENSMUST00000213211	Olfr432	1113					
ENSMUSG00000050134	ENSMUST00000214390	Olfr430	1529	780				
ENSMUSG00000050134	ENSMUST00000213425	Olfr430	1796					
ENSMUSG00000049528	ENSMUST00000216346	Olfr429	4503					
ENSMUSG00000059371	ENSMUST00000213832	Olfr427	2468					
ENSMUSG00000046486	ENSMUST00000214446	Olfr231	2748					
ENSMUSG00000051528	ENSMUST00000214751	Olfr424	5099					
ENSMUSG00000055033	ENSMUST00000213748	Olfr420	2757					
ENSMUSG00000050788	ENSMUST00000214725	Olfr419	863					
ENSMUSG00000066672	ENSMUST00000217962	Olfr417	3689					
ENSMUSG00000066672	ENSMUST00000220394	Olfr417	3271					
ENSMUSG00000059503	ENSMUST00000075329	Olfr248	0					
ENSMUSG00000051509	ENSMUST00000192358	Olfr414	6158					
ENSMUSG00000066671	ENSMUST00000194229	Olfr220	5910					
ENSMUSG00000068950	ENSMUST00000072114	Olfr338	3135					
ENSMUSG00000068950	ENSMUST00000217511	Olfr338	3132					
