Ensembl_gene_ID	Ensembl_transcript_ID	Gene_symbol	Intron1	Intron2	Intron3	Intron4	Intron5
ENSG00000186092	ENST00000641515	OR4F5	86	3463			
ENSG00000284733	ENST00000426406	OR4F29	0				
ENSG00000284662	ENST00000332831	OR4F16	0				
ENSG00000186306	ENST00000334438	OR10T2	0				
ENSG00000180708	ENST00000641042	OR10K2	5005				
ENSG00000173285	ENST00000641432	OR10K1	3631				
ENSG00000173285	ENST00000641460	OR10K1	3776				
ENSG00000173285	ENST00000641971	OR10K1	3504				
ENSG00000173285	ENST00000641535	OR10K1	3501				
ENSG00000198965	ENST00000641067	OR10R2	7585				
ENSG00000198965	ENST00000641400	OR10R2	0				
ENSG00000197532	ENST00000641622	OR6Y1	4728				
ENSG00000197532	ENST00000641282	OR6Y1	6154				
ENSG00000186440	ENST00000641540	OR6P1	3583	3137			
ENSG00000279111	ENST00000623167	OR10X1	0				
ENSG00000198967	ENST00000641002	OR10Z1	924				
ENSG00000196171	ENST00000359610	OR6K2	0				
ENSG00000203757	ENST00000368145	OR6K3	2550				
ENSG00000197403	ENST00000641846	OR6N1	5320				
ENSG00000180433	ENST00000641861	OR6K6	0				
ENSG00000188340	ENST00000641131	OR6N2	3528				
ENSG00000196184	ENST00000642080	OR10J1	1731				
ENSG00000196184	ENST00000423932	OR10J1	0				
ENSG00000184155	ENST00000334857	OR10J5	0				
ENSG00000177535	ENST00000641527	OR2B11	2574	1869			
ENSG00000177535	ENST00000641149	OR2B11	2574				
ENSG00000196242	ENST00000641802	OR2C3	2289	966			
ENSG00000196242	ENST00000366487	OR2C3	2331	966			
ENSG00000177489	ENST00000320065	OR2G2	0				
ENSG00000177476	ENST00000320002	OR2G3	0				
ENSG00000197437	ENST00000642119	OR13G1	6360				
ENSG00000169214	ENST00000641470	OR6F1	2376	1073			
ENSG00000169214	ENST00000641444	OR6F1	3513				
ENSG00000241128	ENST00000366485	OR14A2	0				
ENSG00000153230	ENST00000283225	OR14K1	0				
ENSG00000221888	ENST00000641256	OR1C1	1992				
ENSG00000196772	ENST00000641093	OR14A16	4775	3318			
ENSG00000197591	ENST00000355784	OR11L1	0				
ENSG00000238243	ENST00000360358	OR2W3	0				
ENSG00000177462	ENST00000641945	OR2T8	479				
ENSG00000177275	ENST00000318244	OR2AJ1	8578				
ENSG00000279263	ENST00000623922	OR2L8	0				
ENSG00000187080	ENST00000366480	OR2AK2	0				
ENSG00000197454	ENST00000355281	OR2L5	8188				
ENSG00000203663	ENST00000642011	OR2L2	8011				
ENSG00000203663	ENST00000641771	OR2L2	5314	2622			
ENSG00000203663	ENST00000366479	OR2L2	0				
ENSG00000198128	ENST00000359959	OR2L3	13780				
ENSG00000198128	ENST00000641649	OR2L3	4307	9419			
ENSG00000198128	ENST00000641161	OR2L3	4744				
ENSG00000196071	ENST00000358120	OR2L13	3396	582			
